"Code AGB","Code CIQUAL","Groupe d'aliment","Sous-groupe d'aliment","Nom du Produit en Français","LCI Name","code saison","code avion","Livraison","Matériau d'emballage","Préparation","DQR","Score unique EF","Changement climatique","Appauvrissement de la couche d'ozone","Rayonnements ionisants","Formation photochimique d'ozone","Particules fines","Effets toxicologiques sur la santé humaine : substances non-cancérogènes","Effets toxicologiques sur la santé humaine : substances cancérogènes","Acidification terrestre et eaux douces","Eutrophisation eaux douces","Eutrophisation marine","Eutrophisation terrestre","Écotoxicité pour écosystèmes aquatiques d'eau douce","Utilisation du sol","Épuisement des ressources eau","Épuisement des ressources énergétiques","Épuisement des ressources minéraux"
"20003",20003,"fruits, légumes, légumineuses et oléagineux","légumes","Betterave rouge, cuite","Beetroot, cooked","2",0,"Ambiant (moyen)","LDPE","Cuisson à l'eau",3,0.10766449,0.88962056,1.0389251e-7,0.23460365,0.0027011346,4.0171453e-8,1.1705017e-8,4.2227051e-10,0.0039552333,0.00016857324,0.0019120367,0.01064222,21.9136788,12.945319,2.6220254,17.108245,0.0000050930345
"15202",15202,"fruits, légumes, légumineuses et oléagineux","fruits à coque et graines oléagineuses","Beurre de cacahuète ou Pâte d'arachide","Peanut butter or peanut paste","2",0,"Ambiant (long)","PVC","Pas de préparation",3.53,0.48218279,3.1918854,3.3215707e-7,1.1008423,0.0088126346,3.1447313e-7,7.5740831e-8,3.3707252e-9,0.04389523,0.00088618753,0.025927236,0.18216614,35.232773,313.28426,6.1803633,43.891789,0.000017575056
"20057",20057,"fruits, légumes, légumineuses et oléagineux","légumes","Brocoli, cru","Broccoli, raw","2",0,"Ambiant (moyen)","Pas d'emballage","Pas de préparation",2.49,0.093692418,0.90255547,1.0802537e-7,0.1302702,0.0033172212,4.3689074e-8,1.8109052e-8,4.1213781e-10,0.0049648458,0.00012146862,0.0061635031,0.017828628,7.3921114,10.84603,1.0627562,10.740064,0.0000062184129
"20006",20006,"fruits, légumes, légumineuses et oléagineux","légumes","Brocoli, cuit","Broccoli, cooked","2",0,"Ambiant (moyen)","PP","Cuisson à l'eau",2.95,0.13004784,1.2848984,1.2992441e-7,0.30649649,0.0041362472,5.3747244e-8,1.9859735e-8,5.1379345e-10,0.0059753394,0.00015564274,0.0065763587,0.020177395,8.377438,11.721786,1.2518703,21.324623,0.0000083406582
"20259",20259,"fruits, légumes, légumineuses et oléagineux","légumes","Brocoli, purée","Broccoli, puree","2",0,"Ambiant (moyen)","PP","Micro-onde",2.95,0.12323943,1.1999818,1.207621e-7,0.26880717,0.0040351816,5.2979882e-8,1.9627732e-8,4.9101017e-10,0.0058449754,0.00015084114,0.006551059,0.019932505,7.968442899999999,11.64181,1.2184293,19.304315,0.0000080135026
"20204",20204,"fruits, légumes, légumineuses et oléagineux","légumes","Brocoli, surgelé, cru","Broccoli, frozen, raw","2",0,"Congelé","LDPE","Pas de préparation",3,0.13610073,1.1675983,1.1233901e-7,0.63322822,0.0039047155,5.1575678e-8,1.9097025e-8,5.490298e-10,0.0059353509,0.00020867959,0.0060685105,0.019308848,8.7241139,11.238508,1.2329823,25.7506,0.0000088510434
"20205",20205,"fruits, légumes, légumineuses et oléagineux","légumes","Brocoli, surgelé, cuit","Broccoli, frozen, cooked","2",0,"Congelé","LDPE","Cuisson à l'eau",3.14,0.16966704,1.4584138,1.4140905e-7,0.84559878,0.0046920496,6.1670129e-8,2.2712426e-8,6.7489588e-10,0.0071275628,0.00025223844,0.0071281858,0.022909194,10.6351514,13.273691,1.4786612,33.57556,0.000011089961
"15001",15001,"fruits, légumes, légumineuses et oléagineux","fruits à coque et graines oléagineuses","Cacahuète ou Arachide","Peanut","2",0,"Ambiant (long)","LDPE","Pas de préparation",3.53,0.5807957600000001,4.1581111,2.0261037e-7,0.20044375,0.010096495,4.4548257e-7,9.9356236e-8,4.5672769e-9,0.064437655,0.0012409146,0.040321453,0.27816269,25.8114489,535.9773,4.9837651,23.313955,0.000019451837
"15037",15037,"fruits, légumes, légumineuses et oléagineux","fruits à coque et graines oléagineuses","Cacahuète, grillée","Peanut, grilled","2",0,"Ambiant (long)","LDPE","Pas de préparation",4.02,0.5807957600000001,4.1581111,2.0261037e-7,0.20044375,0.010096495,4.4548257e-7,9.9356236e-8,4.5672769e-9,0.064437655,0.0012409146,0.040321453,0.27816269,25.8114489,535.9773,4.9837651,23.313955,0.000019451837
"15002",15002,"fruits, légumes, légumineuses et oléagineux","fruits à coque et graines oléagineuses","Cacahuète, grillée, salée","Peanut, grilled, salted","2",0,"Ambiant (long)","LDPE","Pas de préparation",4.02,0.5807957600000001,4.1581111,2.0261037e-7,0.20044375,0.010096495,4.4548257e-7,9.9356236e-8,4.5672769e-9,0.064437655,0.0012409146,0.040321453,0.27816269,25.8114489,535.9773,4.9837651,23.313955,0.000019451837
